field_1,zip_code,311byzip,FWbyzip,zip_real,fwbyzip2,fwbyzip3,firework%,real_311_complaints
"203","11422.0","686","3.0","11422","3","3","0","686"
"204","11423.0","654","17.0","11423","17","17","3","654"
"205","11426.0","306","6.0","11426","6","6","2","306"
"206","11427.0","346","19.0","11427","19","19","5","346"
"207","11428.0","448","17.0","11428","17","17","4","448"
"208","11429.0","610","25.0","11429","25","25","4","610"
"209","11430.0","105",,"11430",,"0","0","105"
"210","11432.0","1363","64.0","11432","64","64","5","1363"
"211","11433.0","1318","28.0","11433","28","28","2","1318"
"212","11434.0","1501","30.0","11434","30","30","2","1501"
"213","11435.0","1595","67.0","11435","67","67","4","1595"
"214","11436.0","677","21.0","11436","21","21","3","677"
"215","11691.0","1171","25.0","11691","25","25","2","1171"
"216","11692.0","457","11.0","11692","11","11","2","457"
"217","11693.0","502","8.0","11693","8","8","2","502"
"218","11694.0","885","30.0","11694","30","30","3","885"
"219","11695.0","2",,"11695",,"0","0","2"
"220","11697.0","16",,"11697",,"0","0","16"
"221","12345.0","19","2.0","12345","2","2","11","19"
